consola,genero,lanzamiento,titulo,upc
XONE,Rol/Estrategia/Destreza,08/09/2015,DISHONORED DEFINITIVE EDITION,093155170926-1-00000-0
3DS,Musical,08/09/2015,HATSUNE MIKU PROJECT MIRAI DX,010086611175-0-00000-0
360,Rol/Estrategia/Destreza,25/08/2015,FALLOUT 3 AND OBLIVION DOUBLE PACK,093155125841-0-00000-0
PS4,Aventura,25/08/2015,ONE PIECE PIRATE WARRIORS 3,722674120111-1-00000-0
PS4,Peleas,16/12/2014,GUILTY GEAR XRD SIGN,893610001938-1-00000-1
3DS,Rol/Estrategia/Destreza,04/08/2015,ETRIAN ODYSSEY UNTOLD 2 THE FAFNIR KNIGHT,730865300204-0-00000-0
PS4,Disparos,11/08/2015,WOLFENSTEIN THE OLD BLOOD,093155170889-1-00000-1
XONE,Disparos,11/08/2015,WOLFENSTEIN THE OLD BLOOD,093155170872-1-00000-0
PS3,Aventura,04/08/2015,LEGO HARRY POTTER YEARS 1 4 SILVERSHIELD,883929316052-0-00000-0
PS3,Aventura,28/07/2015,LITTLE BIG PLANET 2 SPECIAL EDITION,711719837220-0-00000-0
PS3,Accion,28/07/2015,UNCHARTED 2 GAME OF THE YEAR,711719825722-0-00000-0
WIIU,Aventura,11/09/2015,SUPER MARIO MAKER WITH BOOK,045496903756-1-00000-0
XONE,Disparos,15/09/2015,DESTINY THE TAKEN KING LEGENDARY EDITION,047875874527-1-00000-1
360,Disparos,15/09/2015,DESTINY THE TAKEN KING LEGENDARY EDITION,047875874480-1-00000-2
PS4,Disparos,15/09/2015,DESTINY THE TAKEN KING LEGENDARY EDITION,047875874442-1-00000-1
PS3,Disparos,15/09/2015,DESTINY THE TAKEN KING LEGENDARY EDITION,047875874404-1-00001-1
XONE,Vehiculos,15/09/2015,FORZA 6,885370901474-1-00001-5
PS4,Disparos,15/09/2015,DESTINY THE TAKEN KING COLLECTORS EDITION,047875874749-0-00000-0
XONE,Disparos,15/09/2015,DESTINY THE TAKEN KING COLLECTORS EDITION,047875874756-1-00000-0
PS4,Deportes,18/09/2015,PRO EVOLUTION SOCCER 2016,083717203063-1-00000-0
XONE,Deportes,18/09/2015,PRO EVOLUTION SOCCER 2016,083717302094-1-00000-0
PS3,Deportes,18/09/2015,PRO EVOLUTION SOCCER 2016,083717203087-1-00000-0
360,Deportes,18/09/2015,PRO EVOLUTION SOCCER 2016,083717302131-0-00000-0
